Title,Genre,Premiere,Runtime,IMDB Score,Language,release_year,month,duration_min
Paris Is Us,Romance drama,2019-02-22,83,4.6,French,2019,February,83
Porta dos Fundos: The First Temptation of Christ,Comedy,2019-12-03,46,4.6,Portuguese,2019,December,46
Rattlesnake,Horror,2019-10-25,85,4.6,English,2019,October,85
The Players,Comedy,2020-07-15,88,4.6,Italian,2020,July,88
We Are One,Documentary,2020-07-14,86,4.6,French,2020,July,86
Finding Agnes,Drama,2020-11-30,105,4.7,Filipino,2020,November,105
IO,Science fiction/Drama,2019-01-18,95,4.7,English,2019,January,95
Sentinelle,Action,2021-03-05,80,4.7,French,2021,March,80
Sol Levante,Anime / Short,2020-04-02,4,4.7,English,2020,April,4
The Binding,Drama,2020-10-02,93,4.7,Italian,2020,October,93
We Can Be Heroes,Superhero,2020-12-25,100,4.7,English,2020,December,100
Christmas Crossfire,Thriller,2020-12-04,106,4.8,German,2020,December,106
Coin Heist,Heist,2017-01-06,97,4.8,English,2017,January,97
Mrs. Serial Killer,Thriller,2020-05-01,106,4.8,Hindi,2020,May,106
Nobody Sleeps in the Woods Tonight,Horror,2020-10-28,103,4.8,Polish,2020,October,103
Take the 10,Comedy,2017-01-20,80,4.8,English,2017,January,80
The Main Event,Comedy,2020-04-10,101,4.8,English,2020,April,101
The Ridiculous 6,Western,2015-12-11,119,4.8,English,2015,December,119
Earth and Blood,Action,2020-04-17,80,4.9,French,2020,April,80
Fearless,Animation/Superhero,2020-08-14,89,4.9,English,2020,August,89
Holiday Rush,Family film,2019-11-28,94,4.9,English,2019,November,94
The Day of the Lord,Drama,2020-10-30,93,4.9,Spanish,2020,October,93
Airplane Mode,Comedy,2020-01-23,96,5.0,Portuguese,2020,January,96
How It Ends,Action-thriller,2018-07-13,113,5.0,English,2018,July,113
Love Like the Falling Rain,Drama,2020-10-15,86,5.0,Indonesian,2020,October,86
Rebirth,Thriller,2016-07-15,100,5.0,English,2016,July,100
Squared Love,Romantic comedy,2021-02-11,102,5.0,Polish,2021,February,102
Cadaver,Horror,2020-10-22,86,5.1,Norwegian,2020,October,86
Clinical,Thriller,2017-01-13,104,5.1,English,2017,January,104
Coffee & Kareem,Action comedy,2020-04-03,88,5.1,English,2020,April,88
Dude,Teen comedy-drama,2018-04-20,97,5.1,English,2018,April,97
Geez & Ann,Romantic drama,2021-02-25,105,5.1,Indonesian,2021,February,105
The Larva Island Movie,Animation,2020-07-23,90,5.1,English,2020,July,90
#REALITYHIGH,Comedy,2017-09-08,99,5.2,English,2017,September,99
American Factory: A Conversation with the Obamas ,Aftershow / Interview,2019-08-21,10,5.2,English,2019,August,10
Desperados,Romantic comedy,2020-07-03,106,5.2,English,2020,July,106
Dolly Parton's Christmas on the Square,Christmas musical,2020-11-22,98,5.2,English,2020,November,98
Father of the Year,Comedy,2018-07-20,94,5.2,English,2018,July,94
Firebrand,Drama,2019-02-22,112,5.2,Marathi,2019,February,112
Ghost Lab,Horror,2021-05-26,117,5.2,Thai,2021,May,117
Girlfriend's Day,Comedy,2017-02-14,70,5.2,English,2017,February,70
Handsome: A Netflix Mystery Movie,Comedy,2017-05-05,81,5.2,English,2017,May,81
Hubie Halloween,Comedy,2020-10-07,103,5.2,English,2020,October,103
Ibiza,Comedy,2018-05-25,94,5.2,English,2018,May,94
Rim of the World,Science fiction adventure,2019-05-24,98,5.2,English,2019,May,98
Sandy Wexler,Comedy,2017-04-14,131,5.2,English,2017,April,131
See You Yesterday,Science fiction,2019-05-17,87,5.2,English,2019,May,87
Still Laugh-In: The Stars Celebrate,Variety show,2019-05-14,60,5.2,English,2019,May,60
"Strip Down, Rise Up",Documentary,2021-02-05,112,5.2,English,2021,February,112
Tall Girl,Comedy-drama,2019-09-13,102,5.2,English,2019,September,102
The Beast,Drama,2020-11-27,99,5.2,Italian,2020,November,99
The Week Of,Comedy,2018-04-27,116,5.2,English,2018,April,116
A Christmas Prince: The Royal Wedding,Romantic comedy,2018-11-30,92,5.3,English,2018,November,92
Back to School,Comedy,2019-08-30,83,5.3,French,2019,August,83
Dangerous Lies,Thriller,2020-04-30,97,5.3,English,2020,April,97
Gunjan Saxena: The Kargil Girl,Drama,2020-08-12,112,5.3,Hindi,2020,August,112
Intuition,Thriller,2020-05-28,116,5.3,Spanish,2020,May,116
The Most Assassinated Woman in the World,Thriller,2018-09-07,102,5.3,French,2018,September,102
Things Heard & Seen,Horror,2021-04-29,121,5.3,English,2021,April,121
"To Each, Her Own",Romantic comedy,2018-06-24,95,5.3,French,2018,June,95
Who Would You Take to a Deserted Island?,Drama,2019-04-12,93,5.3,Spanish,2019,April,93
XOXO,Drama,2016-08-26,92,5.3,English,2016,August,92
A Babysitter's Guide to Monster Hunting,Comedy/Fantasy/Family,2020-10-15,98,5.4,English,2020,October,98
A Christmas Prince: The Royal Baby,Romantic comedy,2019-12-05,85,5.4,English,2019,December,85
Despite Everything,Comedy,2019-05-03,78,5.4,Spanish,2019,May,78
Dolly Kitty and Those Twinkling Stars,Drama,2020-09-18,120,5.4,Hindi,2020,September,120
Freaks: You're One of Us,Supernatural drama,2020-09-02,92,5.4,German,2020,September,92
"Game Over, Man!",Action/Comedy,2018-03-23,101,5.4,English,2018,March,101
Guilty,Thriller,2020-03-06,119,5.4,Hindi,2020,March,119
In the Tall Grass,Horror,2019-10-04,101,5.4,English,2019,October,101
Madame Claude,Drama,2021-04-02,112,5.4,French,2021,April,112
Naked,Comedy,2017-08-11,96,5.4,English,2017,August,96
Outside the Wire,Action/Science fiction,2021-01-15,114,5.4,English,2021,January,114
The Princess Switch: Switched Again,Romantic comedy,2020-11-19,97,5.4,English,2020,November,97
Under the Riccione Sun,Romantic teenage drama,2020-07-01,101,5.4,Italian,2020,July,101
A Very Murray Christmas,Comedy / Musical,2015-12-04,56,5.5,English,2015,December,56
Been So Long,Musical,2018-10-26,100,5.5,English,2018,October,100
Dead Kids,Thriller,2019-12-01,94,5.5,Filipino,2019,December,94
Get the Grift,Comedy,2021-04-28,94,5.5,Portuguese,2021,April,94
House Arrest,Comedy,2019-11-15,104,5.5,Hindi,2019,November,104
Kevin Hart's Guide to Black History,Variety show,2019-02-08,63,5.5,English,2019,February,63
Love Wedding Repeat,Romantic comedy,2020-04-10,100,5.5,English,2020,April,100
Mute,Science fiction/Mystery,2018-02-23,126,5.5,English,2018,February,126
Òlòt?ré,Crime drama,2020-10-02,106,5.5,English,2020,October,106
Red Dot,Thriller,2021-02-11,86,5.5,Swedish,2021,February,86
Ride or Die,Psychological thriller drama,2021-04-15,142,5.5,Japanese,2021,April,142
Step Sisters,Comedy,2018-01-19,108,5.5,English,2018,January,108
The Cloverfield Paradox,Science fiction,2018-02-04,102,5.5,English,2018,February,102
The Knight Before Christmas,Romantic comedy,2019-11-21,92,5.5,English,2019,November,92
The Legacy of a Whitetail Deer Hunter,Adventure/Comedy,2018-07-06,83,5.5,English,2018,July,83
The Package,Black comedy,2018-08-10,94,5.5,English,2018,August,94
Unicorn Store,Comedy,2019-04-05,92,5.5,English,2019,April,92
Wine Country,Comedy,2019-05-10,103,5.5,English,2019,May,103
Bomb Scared,Black comedy,2017-10-12,89,5.6,Spanish/Basque,2017,October,89
Brahman Naman,Comedy,2016-07-07,95,5.6,English,2016,July,95
Double Dad,Comedy-drama,2021-01-15,103,5.6,Portuguese,2021,January,103
Falling Inn Love,Romantic comedy,2019-08-29,97,5.6,English,2019,August,97
Hold the Dark,Thriller,2018-09-28,125,5.6,English,2018,September,125
"Love, Guaranteed",Romantic comedy,2020-09-03,91,5.6,English,2020,September,91
One-Way to Tomorrow,Romance,2020-06-19,90,5.6,Turkish,2020,June,90
Sarah Cooper: Everything's Fine,Variety show,2020-10-27,49,5.6,English,2020,October,49
The Last Laugh,Comedy-drama,2019-01-11,98,5.6,English,2019,January,98
The Last Paradiso,Romantic drama,2021-02-05,107,5.6,Italian,2021,February,107
The Midnight Sky,Science fiction,2020-12-23,118,5.6,English,2020,December,118
The Paramedic,Thriller,2020-09-16,94,5.6,Spanish,2020,September,94
The Sleepover,Comedy,2020-08-21,103,5.6,English,2020,August,103
Vampires vs. the Bronx,Horror comedy,2020-10-02,86,5.6,English,2020,October,86
Why Did You Kill Me?,Documentary,2021-04-14,83,5.6,English,2021,April,83
A Week Away,Christian musical,2021-03-26,97,5.7,English,2021,March,97
Caught by a Wave,Romantic teen drama,2021-03-25,99,5.7,Italian,2021,March,99
Christmas Inheritance,Romantic drama,2017-12-15,104,5.7,English,2017,December,104
Dad Wanted,Family,2020-09-11,102,5.7,Spanish,2020,September,102
El Camino Christmas,Dark comedy,2017-12-08,89,5.7,English,2017,December,89
Eli,Horror,2019-10-18,98,5.7,English,2019,October,98
Ginny Weds Sunny,Romantic comedy,2020-10-09,125,5.7,Hindi,2020,October,125
Good Sam,Drama,2019-05-16,89,5.7,English,2019,May,89
Lionheart,Comedy,2019-01-04,94,5.7,English,2019,January,94
Little Evil,Comedy horror,2017-09-01,94,5.7,English,2017,September,94
One Take,Documentary,2020-06-18,85,5.7,Thai,2020,June,85
"Out of Many, One",Documentary,2018-12-12,34,5.7,English,2018,December,34
Point Blank,Action,2019-07-12,86,5.7,English,2019,July,86
Prime Time,Thriller,2021-04-14,91,5.7,Polish,2021,April,91
The Do-Over,Action comedy,2016-05-27,108,5.7,English,2016,May,108
The Holiday Calendar,Romantic comedy,2018-11-02,95,5.7,English,2018,November,95
The Woman in the Window,Psychological thriller,2021-05-14,100,5.7,English,2021,May,100
The Wrong Missy,Comedy,2020-05-13,90,5.7,English,2020,May,90
Velvet Buzzsaw,Thriller,2019-02-01,112,5.7,English,2019,February,112
Yes Day,Comedy,2021-03-12,86,5.7,English,2021,March,86
15 August,Comedy-drama,2019-03-29,124,5.8,Marathi,2019,March,124
A California Christmas,Romantic comedy,2020-12-14,107,5.8,English,2020,December,107
A Christmas Prince,Romantic comedy,2017-11-17,92,5.8,English,2017,November,92
All Day and a Night,Drama,2020-05-01,121,5.8,English,2020,May,121
American Son,Drama,2019-11-01,90,5.8,English,2019,November,90
Barry,Biopic,2016-12-16,104,5.8,English,2016,December,104
Candy Jar,Comedy,2018-04-27,92,5.8,English,2018,April,92
Choked: Paisa Bolta Hai,Drama,2020-06-05,114,5.8,Hindi,2020,June,114
Class of '83,Drama,2020-08-21,98,5.8,Hindi,2020,August,98
Extinction,Science fiction/Thriller,2018-07-27,95,5.8,English,2018,July,95
Happy Anniversary,Romantic comedy,2018-03-30,78,5.8,English,2018,March,78
I Am All Girls,Thriller,2021-05-14,107,5.8,English,2021,May,107
Let It Snow,Romantic comedy,2019-11-08,92,5.8,English,2019,November,92
Mascots,Mockumentary,2016-10-13,95,5.8,English,2016,October,95
Operation Christmas Drop,Romantic comedy,2020-11-05,96,5.8,English,2020,November,96
Rajma Chawal,Comedy-drama,2018-11-30,118,5.8,Hindi,2018,November,118
Rich in Love,Romantic comedy,2020-04-30,105,5.8,Portuguese,2020,April,105
Rising High,Satire,2020-04-17,94,5.8,German,2020,April,94
Rodney King,One-man show,2017-04-28,52,5.8,English,2017,April,52
Sierra Burgess Is a Loser,Romantic comedy-drama,2018-09-07,105,5.8,English,2018,September,105
Small Crimes,Dark comedy,2017-04-28,95,5.8,English,2017,April,95
Special Correspondents,Satire,2016-04-29,100,5.8,English,2016,April,100
TAU,Science fiction/Thriller,2018-06-29,97,5.8,English,2018,June,97
The After Party,Comedy,2018-08-24,89,5.8,English,2018,August,89
The Babysitter: Killer Queen,Comedy/Horror,2020-09-10,102,5.8,English,2020,September,102
The Claus Family,Fantasy,2020-12-07,96,5.8,Dutch,2020,December,96
The Kissing Booth 2,Romantic comedy,2020-07-24,131,5.8,English,2020,July,131
The Perfect Date,Romantic comedy,2019-04-12,89,5.8,English,2019,April,89
What We Wanted,Drama,2020-11-11,93,5.8,German,2020,November,93
You've Got This,Romantic comedy,2020-10-02,111,5.8,Spanish,2020,October,111
6 Balloons,Drama,2018-04-06,75,5.9,English,2018,April,75
A Fall from Grace,Thriller,2020-01-17,120,5.9,English,2020,January,120
Amateur,Sports-drama,2018-04-06,96,5.9,English,2018,April,96
Army of the Dead,Zombie/Heist,2021-05-21,148,5.9,English,2021,May,148
Cam,Psychological horror,2018-11-16,94,5.9,English,2018,November,94
Earthquake Bird,Mystery,2019-11-15,107,5.9,English,2019,November,107
"Frankenstein's Monster's Monster, Frankenstein",Mockumentary,2019-07-16,32,5.9,English,2019,July,32
Horse Girl,Drama,2020-02-07,104,5.9,English,2020,February,104
Notes from Dunblane: Lesson from a School Shooting,Documentary,2018-09-28,23,5.9,English,2018,September,23
Maska,Romantic comedy,2020-03-27,111,5.9,Hindi,2020,March,111
The Decline,Thriller,2020-03-27,83,5.9,French,2020,March,83
The Minimalists: Less Is Now,Documentary,2021-01-01,53,5.9,English,2021,January,53
The Polka King,Comedy-drama,2018-01-12,95,5.9,English,2018,January,95
The Prom,Musical,2020-12-11,132,5.9,English,2020,December,132
True Memoirs of an International Assassin,Action comedy,2016-11-11,98,5.9,English,2016,November,98
Ultras,Sports film,2020-03-20,108,5.9,Italian,2020,March,108
Come Sunday,Biopic,2018-04-13,106,6.0,English,2018,April,106
Forgive Us Our Debts,Drama,2018-05-04,104,6.0,Italian,2018,May,104
iBoy,Science fiction/Thriller,2017-01-27,90,6.0,English,2017,January,90
Lovefucked,Drama,2019-08-09,106,6.0,Hindi,2019,August,106
Juanita,Drama,2019-03-08,90,6.0,English,2019,March,90
Murder Mystery,Comedy mystery,2019-06-14,97,6.0,English,2019,June,97
Project Power,Superhero,2020-08-14,113,6.0,English,2020,August,113
Rebecca,Romantic thriller,2020-10-21,123,6.0,English,2020,October,123
The Christmas Chronicles: Part Two,Christmas comedy,2020-11-25,115,6.0,English,2020,November,115
The Kissing Booth,Romantic comedy,2018-05-11,105,6.0,English,2018,May,105
The Princess Switch,Romantic comedy,2018-11-16,101,6.0,English,2018,November,101
To All the Boys: P.S. I Still Love You,Romantic comedy,2020-02-12,102,6.0,English,2020,February,102
War Machine,War-Comedy,2017-05-26,122,6.0,English,2017,May,122
6 Underground,Action,2019-12-13,128,6.1,English,2019,December,128
Between Two Ferns: The Movie,Comedy,2019-09-20,82,6.1,English,2019,September,82
Burning Sands,Drama,2017-03-10,102,6.1,English,2017,March,102
Casting JonBenet,Documentary,2017-04-28,80,6.1,English,2017,April,80
Deidra & Laney Rob a Train,Drama,2017-03-17,94,6.1,English,2017,March,94
Finding 'Ohana,Family,2021-01-29,123,6.1,English,2021,January,123
Holidate,Romantic comedy/Holiday,2020-10-28,104,6.1,English,2020,October,104
Holiday in the Wild,Adventure-romance,2019-11-01,85,6.1,English,2019,November,85
Hot Girls Wanted,Documentary,2015-05-29,84,6.1,English,2015,May,84
Like Father,Comedy,2018-08-03,103,6.1,English,2018,August,103
Lost Girls,Crime drama,2020-03-13,95,6.1,English,2020,March,95
Otherhood,Comedy,2019-08-02,100,6.1,English,2019,August,100
Pee-wee's Big Holiday,Adventure,2016-03-18,89,6.1,English,2016,March,89
Rogue City,Crime drama,2020-10-30,116,6.1,French,2020,October,116
Sergio,Biopic,2020-04-17,118,6.1,English,2020,April,118
Stuck Apart,Drama,2021-01-08,96,6.1,Turkish,2021,January,96
Tersanjung the Movie,Drama,2021-04-01,114,6.1,Indonesian,2021,April,114
The Killer,Western,2017-11-10,99,6.1,Portuguese,2017,November,99
The Lovebirds,Romantic comedy,2020-05-22,87,6.1,English,2020,May,87
The Most Hated Woman in America,Biopic,2017-03-24,92,6.1,English,2017,March,92
The Perfection,Horror-thriller,2019-05-24,90,6.1,English,2019,May,90
Tribhanga  Tedhi Medhi Crazy,Drama,2021-01-15,95,6.1,Hindi,2021,January,95
Unknown Origins,Thriller,2020-08-28,96,6.1,Spanish,2020,August,96
Work It,Dance comedy,2020-08-07,93,6.1,English,2020,August,93
Alien Xmas,Stop Motion,2020-11-20,42,6.2,English,2020,November,42
Baggio: The Divine Ponytail,Biopic,2021-05-26,92,6.2,Italian,2021,May,92
Below Zero,Drama,2021-01-29,106,6.2,Spanish,2021,January,106
Citation,Drama,2020-11-06,151,6.2,English,2020,November,151
Crazy Awesome Teachers,Comedy-drama,2020-08-17,101,6.2,Indonesian,2020,August,101
Have You Ever Seen Fireflies?,Comedy,2021-04-09,114,6.2,Turkish,2021,April,114
High Flying Bird,Sports-drama,2019-02-08,90,6.2,English,2019,February,90
In the Shadow of the Moon,Thriller,2019-09-27,115,6.2,English,2019,September,115
Lost Bullet,Thriller,2020-06-19,92,6.2,French,2020,June,92
Octonauts & the Caves of Sac Actun,Animation,2020-08-14,72,6.2,English,2020,August,72
Offering to the Storm,Thriller,2020-07-24,139,6.2,Spanish,2020,July,139
Roxanne Roxanne,Biopic,2018-03-23,98,6.2,English,2018,March,98
Someone Great,Romantic comedy,2019-04-19,92,6.2,English,2019,April,92
Spenser Confidential,Action comedy,2020-03-06,111,6.2,English,2020,March,111
The Land of Steady Habits,Drama,2018-09-14,98,6.2,English,2018,September,98
The Rachel Divide,Documentary,2018-04-27,104,6.2,English,2018,April,104
Voyuer ,Documentary,2017-12-01,95,6.2,English,2017,December,95
Win It All,Comedy,2017-04-07,88,6.2,English,2017,April,88
1922,Horror/Crime drama,2017-10-20,102,6.3,English,2017,October,102
A Tale of Two Kitchens,Documentary,2019-05-22,30,6.3,English/Spanish,2019,May,30
Alex Strangelove,Romantic comedy,2018-06-08,99,6.3,English,2018,June,99
Apostle,Horror-thriller,2018-10-12,129,6.3,English,2018,October,129
Benji,Family film,2018-03-16,87,6.3,English,2018,March,87
Bright,Urban fantasy,2017-12-22,117,6.3,English,2017,December,117
Cargo,Drama/Horror,2018-05-18,104,6.3,English,2018,May,104
Concrete Cowboy,Drama,2021-04-02,111,6.3,English,2021,April,111
Feel the Beat,Family/Comedy-drama,2020-06-19,107,6.3,English,2020,June,107
Get the Goat,Comedy,2021-03-18,97,6.3,Portuguese,2021,March,97
I Am Not an Easy Man,Romantic comedy,2018-04-13,98,6.3,French,2018,April,98
June & Kopi,Drama,2021-01-28,90,6.3,Indonesian,2021,January,90
Music Teacher,Drama,2019-04-19,101,6.3,Hindi,2019,April,101
Nail Bomber: Manhunt,Documentary,2021-05-26,72,6.3,English,2021,May,72
Notes for My Son,Drama,2020-11-24,83,6.3,Spanish,2020,November,83
Polar,Action,2019-01-25,118,6.3,English,2019,January,118
Porta dos Fundos: The Last Hangover,Comedy,2018-12-21,44,6.3,Portuguese,2018,December,44
Sand Castle,War,2017-04-21,113,6.3,English,2017,April,113
Shimmer Lake,Crime thriller,2017-06-09,86,6.3,English,2017,June,86
Spectral,Science fiction/Action,2016-12-09,108,6.3,English,2016,December,108
The Babysitter,Teen comedy horror,2017-10-13,85,6.3,English,2017,October,85
The Discovery,Science fiction/Drama,2017-03-31,102,6.3,English,2017,March,102
The Forest of Love,Drama,2019-10-11,151,6.3,Japanese,2019,October,151
The Laundromat,Comedy-drama,2019-10-18,98,6.3,English,2019,October,98
The Legend of Cocaine Island,Documentary,2019-03-29,87,6.3,English,2019,March,87
The Outsider,Crime drama,2018-03-09,120,6.3,English/Japanese,2018,March,120
Time to Hunt,Thriller,2020-04-23,134,6.3,Korean,2020,April,134
To All the Boys: Always and Forever,Romantic comedy,2021-02-12,109,6.3,English,2021,February,109
Travis Scott: Look Mom I Can Fly,Documentary,2019-08-28,85,6.3,English,2019,August,85
Uncorked,Drama,2020-03-27,103,6.3,English,2020,March,103
Anelka: Misunderstood,Documentary,2020-08-05,94,6.4,French,2020,August,94
"Ariana Grande: Excuse Me, I Love You",Concert Film,2020-12-21,97,6.4,English,2020,December,97
ARQ,Science fiction/Thriller,2016-09-16,88,6.4,English,2016,September,88
Birders,Documentary,2019-09-25,37,6.4,English/Spanish,2019,September,37
Como Caído del Cielo,Musical comedy,2019-12-24,112,6.4,Spanish,2019,December,112
First Match,Sports-drama,2018-03-30,102,6.4,English,2018,March,102
Fractured,Thriller,2019-10-11,100,6.4,English,2019,October,100
Irreplaceable You,Drama,2018-02-16,96,6.4,English,2018,February,96
Isi & Ossi,Romantic comedy,2020-02-14,113,6.4,German,2020,February,113
John Was Trying to Contact Aliens,Documentary,2020-08-20,16,6.4,English,2020,August,16
Layla Majnun,Romantic drama,2021-02-11,119,6.4,Indonesian,2021,February,119
Murder to Mercy: The Cyntoia Brown Story,Documentary,2020-04-29,97,6.4,English,2020,April,97
My Own Man,Documentary,2014-12-13,81,6.4,English,2014,December,81
Nappily Ever After,Comedy-drama,2018-09-21,98,6.4,English,2018,September,98
Over the Moon,Animation/Musical/Adventure,2020-10-23,95,6.4,English,2020,October,95
Street Flow,Drama,2019-10-12,96,6.4,French,2019,October,96
Sturgill Simpson Presents: Sound & Fury,Animation / Musicial,2019-09-27,41,6.4,English,2019,September,41
Take Your Pills,Documentary,2018-03-16,87,6.4,English,2018,March,87
The Heartbreak Club,Comedy-drama,2021-01-14,101,6.4,Indonesian,2021,January,101
The Mars Generation,Documentary,2017-05-05,97,6.4,English,2017,May,97
The Occupant,Thriller,2020-03-25,103,6.4,Spanish,2020,March,103
The Willoughbys,Animation/Comedy/Adventure,2020-04-22,90,6.4,English,2020,April,90
Triple Frontier,Action-thriller,2019-03-13,125,6.4,English,2019,March,125
Two Catalonias,Documentary,2018-09-28,116,6.4,Spanish/Catalan,2018,September,116
Walk. Ride. Rodeo.,Drama,2019-03-08,99,6.4,English,2019,March,99
Wheelman,Action thriller,2017-10-20,82,6.4,English,2017,October,82
When We First Met,Romantic comedy,2018-02-09,97,6.4,English,2018,February,97
A 3 Minute Hug,Documentary,2019-10-28,28,6.5,English/Spanish,2019,October,28
All the Bright Places,Romance,2020-02-28,108,6.5,English,2020,February,108
All Together Now,Drama,2020-08-28,93,6.5,English,2020,August,93
Altered Carbon: Resleeved,Anime/Science fiction,2020-03-19,74,6.5,Japanese,2020,March,74
Antoine Griezmann: The Making of a Legend,Documentary,2019-03-21,60,6.5,French,2019,March,60
Canvas ,Animation / Short,2020-12-11,9,6.5,English,2020,December,9
Chadwick Boseman: Portrait of an Artist,Documentary,2021-04-17,21,6.5,English,2021,April,21
Chopsticks,Comedy,2019-05-31,100,6.5,Hindi,2019,May,100
Da 5 Bloods,War drama,2020-06-12,155,6.5,English,2020,June,155
Dolly Parton: A MusiCares Tribute,Documentary,2021-04-07,55,6.5,English,2021,April,55
Eurovision Song Contest: The Story of Fire Saga,Musical comedy,2020-06-26,123,6.5,English,2020,June,123
Gerald's Game,Horror thriller,2017-09-29,103,6.5,English,2017,September,103
His House,Thriller,2020-10-30,93,6.5,English,2020,October,93
Jingle Jangle: A Christmas Journey,Family/Christmas musical,2020-11-13,119,6.5,English,2020,November,119
Life Overtakes Me,Documentary,2019-06-14,40,6.5,English/Swedish,2019,June,40
Lust Stories,Drama,2018-06-15,120,6.5,Hindi,2018,June,120
Monster,Drama,2021-05-07,98,6.5,English,2021,May,98
Mowgli: Legend of the Jungle,Adventure,2018-12-07,104,6.5,English,2018,December,104
Nobody Knows I'm Here,Drama,2020-06-24,91,6.5,Spanish,2020,June,91
Nobody Speak: Trials of the Free Press,Documentary,2017-06-23,95,6.5,English,2017,June,95
Oxygen,Science fiction thriller,2021-05-12,101,6.5,French,2021,May,101
Set It Up,Romantic comedy,2018-06-15,105,6.5,English,2018,June,105
The Incredible Jessica James,Comedy,2017-07-28,83,6.5,English,2017,July,83
Tigertail,Drama,2020-04-10,91,6.5,English/Taiwanese/Mandarin,2020,April,91
Tramps,Romance,2017-04-21,83,6.5,English,2017,April,83
What Did Jack Do?,Drama / Short,2020-01-20,17,6.5,English,2020,January,17
Bad Trip,Hidden-camera prank comedy,2021-03-26,86,6.6,English,2021,March,86
Bird Box,Psychological thriller,2018-12-21,124,6.6,English,2018,December,124
Bulbbul,Horror,2020-06-24,94,6.6,Hindi,2020,June,94
Crazy About Her,Romantic comedy,2021-02-26,102,6.6,Spanish,2021,February,102
Elisa & Marcela,Romance,2019-06-07,118,6.6,Spanish,2019,June,118
I'll Sleep When I'm Dead,Documentary,2016-08-19,79,6.6,English,2016,August,79
I'm Thinking of Ending Things,Psychological thriller,2020-09-04,134,6.6,English,2020,September,134
It Takes a Lunatic,Documentary,2019-10-25,126,6.6,English,2019,October,126
Milestone,Drama,2021-05-07,98,6.6,Hindi,2021,May,98
Recovery Boys,Documentary,2018-06-29,89,6.6,English,2018,June,89
ReMastered: Who Killed Jam Master Jay?,Documentary,2018-12-07,58,6.6,English,2018,December,58
Shawn Mendes: In Wonder,Documentary,2020-11-23,83,6.6,English,2020,November,83
Space Sweepers,Science fiction,2021-02-05,136,6.6,Korean,2021,February,136
The American Meme,Documentary,2018-12-07,98,6.6,English,2018,December,98
The Angel,Spy thriller,2018-09-14,114,6.6,English,2018,September,114
The Crimes That Bind,Crime drama,2020-08-20,99,6.6,Spanish,2020,August,99
The Red Sea Diving Resort,Spy thriller,2019-07-31,130,6.6,English,2019,July,130
What Would Sophia Loren Do?,Documentary,2021-01-15,32,6.6,English,2021,January,32
A Whisker Away,Anime/Fantasy,2020-06-18,104,6.7,Japanese,2020,June,104
Ajeeb Daastaans,Drama,2021-04-16,142,6.7,Hindi,2021,April,142
Arlo the Alligator Boy,Animated musical comedy,2021-04-16,92,6.7,English,2021,April,92
